DATA	Preço
8451	10,00
8452	10,00
8453	55,00
8454	1,05
8455	0,00
8456	0,00
8457	39,90
8458	45,00
8459	109,00
8460	3,50
8461	47,92
8462	47,91
8463	139,90
8464	5,91
8465	2190,00
8466	249,00
8467	20,12
8468	20,12
8469	28,15
8470	130,73
8471	3,34
8472	114,71
8473	18,63
8474	216,54
8475	48,08
8476	224,90
8477	120,00
8478	0,00
8479	0,00
8480	0,00
8481	4,92
8482	5942,94
8483	1017,40
8484	1304,90
8485	224,65
8486	420,48
8487	12,00
8488	8,60
8489	7,50
8490	27,00
8491	72,00
8492	6,00
8493	5,67
8494	6,34
8495	5,95
8496	2,89
8497	0,25
8498	23,84
8499	25,94
8500	13,61
8501	159,28
8502	25,27
8503	45,55
8504	0,00
8505	200,00
8506	30,00
8507	120,00
8508	200,00
8509	100,00
8510	50,00
8511	126,00
8512	699,00
8513	479,00
8514	123,00
8515	145,00
8516	0,00
8517	0,00
8518	0,00
8519	95975,00
8520	1922,00
8521	21,60
8522	0,00
8523	0,00
8524	20,40
8525	0,00
8526	0,00
8527	8,00
8528	0,00
8529	920,00
8530	0,00
8531	141,15
8532	95,99
8533	234,88
8534	154636,16
8535	95,45
8536	464,95
8537	72,60
8538	23,31
8539	106,90
8540	0,44
8541	420,75
8542	187,26
8543	36,30
8544	67,65
8545	315,85
8546	1326,58
8547	17,16
8548	1,82
8549	0,00
8550	14,25
8551	9,74
8552	0,00
8553	104,60
8554	3,50
8555	3750,89
8557	0,00
8558	0,00
8559	0,00
8560	0,00
8561	0,00
8562	266,23
8563	1625,00
8564	0,00
8565	0,00
8566	0,00
8567	85,80
8568	89,30
8569	89,30
8570	87,55
8571	360,67
8572	0,00
8573	0,00
8574	128,00
8575	0,00
8576	230,00
8577	0,00
8578	7,95
8579	0,00
8580	0,00
8581	11,00
8582	28,00
8583	11,00
8584	0,00
8585	0,00
8586	2360,00
8587	0,00
8588	48,99
8589	0,00
8590	3890,00
8591	15,00
8592	79,90
8593	5,99
8594	0,00
8595	11,99
8596	8,90
8597	0,90
8598	2,95
8599	0,00
8600	4,90
8601	22,90
8602	0,00
8603	0,00
8604	31,80
8605	381,25
8606	9,61
8607	0,00
8608	0,00
8609	68,99
8610	0,00
8611	3,60
8612	2,55
8613	51,00
8614	3,50
8615	8,50
8616	12,99
8617	18,90
8618	61,00
8619	0,00
8620	44,99
8621	509,00
8622	0,00
8623	0,00
8624	8,25
8625	80,57
8626	7,30
8627	7,90
8628	23,35
8629	18,00
8630	11,00
8631	28,72
8632	98,50
8633	245,00
8634	0,00
8635	0,00
8636	0,00
8637	5,99
8638	15,99
8639	3,79
8640	14,99
8641	18,99
8642	6,42
8643	345,82
8644	290,22
8645	106,90
8646	754,25
